,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec,eqc_low,eqc_mid,eqc_high,eqc_membership,eqc_degree,coec_low,coec_mid,coec_high,coec_membership,coec_degree
40210,521,46475,467052,8189477,2,0,182,9,0.52,0.11,0.0,0.89,0.11,eqc_mid,0.89,0.76,0.24,0.0,coec_low,0.76
40211,521,46475,471040,8190774,2,0,137,6,0.92,0.25,0.0,0.26,0.74,eqc_high,0.74,0.45,0.55,0.0,coec_mid,0.55
40212,521,46475,471076,8196124,2,0,802,36,0.08,0.08,0.82,0.18,0.0,eqc_low,0.82,0.82,0.18,0.0,coec_low,0.82
40213,521,46475,471020,8196099,3,0,48,1,0.47,0.47,0.03,0.91,0.06,eqc_mid,0.91,0.03,0.91,0.06,coec_mid,0.91
40214,521,46475,470980,8196095,2,0,173,6,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40215,521,46475,470998,8190111,2,0,133,4,0.16,0.15,0.65,0.35,0.0,eqc_low,0.65,0.67,0.33,0.0,coec_low,0.67
40216,521,46475,467442,8173548,3,0,76,6,0.46,0.04,0.04,0.91,0.05,eqc_mid,0.91,0.91,0.09,0.0,coec_low,0.91
40217,521,46475,471084,8196043,2,0,72,3,0.48,0.34,0.02,0.91,0.06,eqc_mid,0.91,0.24,0.76,0.0,coec_mid,0.76
40218,521,46475,470934,8187009,2,0,116,5,0.46,0.47,0.04,0.91,0.05,eqc_mid,0.91,0.03,0.91,0.06,coec_mid,0.91
40219,521,46475,471085,8196049,2,0,93,4,0.34,0.0,0.24,0.76,0.0,eqc_mid,0.76,1.0,0.0,0.0,coec_low,1.0
40220,521,46475,471196,8196112,2,0,233,7,0.42,0.0,0.09,0.9,0.02,eqc_mid,0.9,1.0,0.0,0.0,coec_low,1.0
40221,521,46475,467421,8174434,2,0,38,4,0.02,0.02,0.96,0.04,0.0,eqc_low,0.96,0.96,0.04,0.0,coec_low,0.96
40222,521,46475,467441,8173956,2,0,91,5,0.76,0.0,0.0,0.5,0.5,eqc_mid,0.5,1.0,0.0,0.0,coec_low,1.0
40223,521,41693,394407,6885923,2,0,11,1,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40224,521,41693,394322,6887314,2,0,350,13,0.42,0.04,0.09,0.9,0.02,eqc_mid,0.9,0.91,0.09,0.0,coec_low,0.91
40225,521,41693,391222,6887125,2,0,338,26,0.52,0.16,0.0,0.89,0.11,eqc_mid,0.89,0.65,0.35,0.0,coec_low,0.65
40226,521,41693,393791,6887269,2,0,505,22,0.5,0.12,0.0,0.92,0.08,eqc_mid,0.92,0.74,0.26,0.0,coec_low,0.74
40227,521,28678,265471,4169202,2,0,106,4,0.68,0.46,0.0,0.63,0.37,eqc_mid,0.63,0.04,0.91,0.05,coec_mid,0.91
40228,521,28678,265300,4170559,2,0,357,15,0.26,0.03,0.42,0.58,0.0,eqc_mid,0.58,0.93,0.07,0.0,coec_low,0.93
40229,521,28678,265486,4169610,2,0,141,5,0.42,0.0,0.09,0.9,0.02,eqc_mid,0.9,1.0,0.0,0.0,coec_low,1.0
40230,521,42312,425276,7041917,2,0,193,9,0.68,0.08,0.0,0.63,0.37,eqc_mid,0.63,0.82,0.18,0.0,coec_low,0.82
40231,521,42312,425443,7042549,2,0,117,5,0.04,0.04,0.91,0.09,0.0,eqc_low,0.91,0.91,0.09,0.0,coec_low,0.91
40232,521,42312,425285,7041739,2,0,322,15,0.28,0.05,0.38,0.62,0.0,eqc_mid,0.62,0.89,0.11,0.0,coec_low,0.89
40233,521,42312,425447,7042162,2,0,170,6,0.66,0.36,0.0,0.66,0.34,eqc_mid,0.66,0.2,0.8,0.0,coec_mid,0.8
40234,521,45428,451534,7653389,2,0,152,13,0.38,0.06,0.15,0.85,0.0,eqc_mid,0.85,0.87,0.13,0.0,coec_low,0.87
40235,521,28540,263417,4117764,2,0,64,5,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40236,521,28540,263197,4114301,2,0,29,1,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40237,521,28540,263183,4114288,2,0,45,3,0.06,0.06,0.87,0.13,0.0,eqc_low,0.87,0.87,0.13,0.0,coec_low,0.87
40238,521,45017,468886,8161737,2,0,514,23,0.38,0.3,0.15,0.85,0.0,eqc_mid,0.85,0.33,0.67,0.0,coec_mid,0.67
40239,521,45017,469184,8161926,3,0,295,14,0.06,0.05,0.87,0.13,0.0,eqc_low,0.87,0.89,0.11,0.0,coec_low,0.89
40240,521,45017,468333,8161973,2,0,268,13,0.8,0.39,0.0,0.44,0.56,eqc_high,0.56,0.13,0.87,0.0,coec_mid,0.87
40241,521,46363,475248,8320472,2,0,141,10,0.56,0.34,0.0,0.82,0.18,eqc_mid,0.82,0.24,0.76,0.0,coec_mid,0.76
40242,521,46363,475719,8335326,2,0,96,3,0.52,0.35,0.0,0.89,0.11,eqc_mid,0.89,0.22,0.78,0.0,coec_mid,0.78
40243,521,46363,475717,8335373,2,0,37,1,0.98,0.98,0.0,0.16,0.84,eqc_high,0.84,0.0,0.16,0.84,coec_high,0.84
40244,521,45025,453891,7722273,3,0,133,4,0.06,0.05,0.87,0.13,0.0,eqc_low,0.87,0.89,0.11,0.0,coec_low,0.89
40245,521,45025,453948,7780050,3,0,618,28,0.51,0.09,0.0,0.9,0.1,eqc_mid,0.9,0.8,0.2,0.0,coec_low,0.8
40246,521,45025,454001,7781007,2,0,611,30,0.48,0.11,0.02,0.91,0.06,eqc_mid,0.91,0.76,0.24,0.0,coec_low,0.76
40247,521,45025,452631,7728144,2,0,456,24,0.62,0.0,0.0,0.73,0.27,eqc_mid,0.73,1.0,0.0,0.0,coec_low,1.0
40248,521,45025,453789,7775728,3,0,618,22,0.7,0.26,0.0,0.6,0.4,eqc_mid,0.6,0.42,0.58,0.0,coec_mid,0.58
40249,521,45043,473462,8276573,2,0,411,21,0.02,0.02,0.96,0.04,0.0,eqc_low,0.96,0.96,0.04,0.0,coec_low,0.96
40250,521,45043,473385,8276545,3,0,341,12,0.36,0.06,0.2,0.8,0.0,eqc_mid,0.8,0.87,0.13,0.0,coec_low,0.87
40251,521,45043,472860,8276583,3,0,267,20,0.33,0.11,0.26,0.74,0.0,eqc_mid,0.74,0.76,0.24,0.0,coec_low,0.76
40252,521,45043,473314,8276489,3,0,142,7,0.5,0.03,0.0,0.92,0.08,eqc_mid,0.92,0.93,0.07,0.0,coec_low,0.93
40253,521,41692,393899,6887931,2,0,90,5,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40254,521,41692,393843,6887377,2,0,229,16,0.66,0.02,0.0,0.66,0.34,eqc_mid,0.66,0.96,0.04,0.0,coec_low,0.96
40255,521,41692,394101,6877753,2,0,242,10,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40256,521,41692,383875,6877677,3,0,324,20,0.63,0.3,0.0,0.71,0.29,eqc_mid,0.71,0.33,0.67,0.0,coec_mid,0.67
40257,521,41692,393897,6888085,2,0,48,7,0.64,0.28,0.0,0.7,0.3,eqc_mid,0.7,0.38,0.62,0.0,coec_mid,0.62
40258,521,41692,393871,6887384,2,0,151,7,0.26,0.15,0.42,0.58,0.0,eqc_mid,0.58,0.67,0.33,0.0,coec_low,0.67
40259,521,46325,462324,8000036,3,0,304,12,0.82,0.21,0.0,0.41,0.59,eqc_high,0.59,0.54,0.46,0.0,coec_low,0.54
40260,521,46325,461498,7999392,3,0,284,17,0.63,0.16,0.0,0.71,0.29,eqc_mid,0.71,0.65,0.35,0.0,coec_low,0.65
40261,521,46325,462213,7999641,3,0,210,10,0.79,0.19,0.0,0.46,0.54,eqc_high,0.54,0.58,0.42,0.0,coec_low,0.58
40262,521,46325,462353,8000150,2,0,82,4,0.38,0.38,0.15,0.85,0.0,eqc_mid,0.85,0.15,0.85,0.0,coec_mid,0.85
